,complete_address,house_category,point
0,ADE Conjunto- Samambaia Sul,Apartamentos,"-15.882143905944265, -48.063501412766435"
1,ADE Conjunto- Samambaia Sul,Casas,"-15.882143905944265, -48.063501412766435"
2,QI 416- Samambaia Norte,Apartamentos,"-15.855954181583032, -48.06950116272218"
3,QI 416- Samambaia Norte,Casas,"-15.855044924934832, -48.06887953246958"
4,QNL 22- Samambaia Norte,Casas,
5,QR 1029- Samambaia Norte,Casas,"-15.885009356251565, -48.14666755529745"
6,QR 103- Samambaia Sul,Apartamentos,"-15.87905182654271, -48.0941768312436"
7,QR 1031- Samambaia Norte,Apartamentos,"-15.886609512227091, -48.14796306814208"
8,QR 1031- Samambaia Norte,Casas,"-15.885914546396833, -48.14853208624515"
9,QR 1033- Samambaia Norte,Apartamentos,"-15.886141129453447, -48.15090046318128"
10,QR 1033- Samambaia Norte,Casas,"-15.885925087934142, -48.15017403191548"
11,QR 104- Samambaia Sul,Apartamentos,"-15.872906260495819, -48.08239049706196"
12,QR 104- Samambaia Sul,Casas,"-15.87411524884355, -48.081998606510666"
13,QR 106- Samambaia Sul,Apartamentos,"-15.873270913201631, -48.079253147221706"
14,QR 107- Samambaia Sul,Casas,"-15.88200886401925, -48.09991338565928"
15,QR 108- Samambaia Sul,Apartamentos,"-15.870769824111989, -48.077487324960856"
16,QR 108- Samambaia Sul,Casas,"-15.871735186843207, -48.07682780183796"
17,QR 109- Samambaia Sul,Apartamentos,"-15.883275074574149, -48.10221933290608"
18,QR 110- Samambaia Sul,Apartamentos,"-15.870089915410876, -48.074450834111495"
19,QR 110- Samambaia Sul,Casas,"-15.87134611859877, -48.074266769002605"
20,QR 111- Samambaia Sul,Apartamentos,"-15.88451055143896, -48.10504851040007"
21,QR 112- Samambaia Sul,Apartamentos,"-15.870956536689437, -48.071726164270686"
22,QR 113- Samambaia Sul,Apartamentos,"-15.885313464545222, -48.10826339265746"
23,QR 113- Samambaia Sul,Casas,"-15.886095551940185, -48.10758479971"
24,QR 114- Samambaia Sul,Apartamentos,"-15.870267828033931, -48.06844180875772"
25,QR 116- Samambaia Sul,Apartamentos,"-15.868567239188385, -48.06719182270189"
26,QR 116- Samambaia Sul,Casas,"-15.869343921435384, -48.06719633362168"
27,QR 118- Samambaia Sul,Apartamentos,"-15.867567088365508, -48.06461684259848"
28,QR 118- Samambaia Sul,Casas,"-15.868376167444241, -48.06383306149591"
29,QR 120- Samambaia Sul,Apartamentos,"-15.866467705125428, -48.06214192392817"
30,QR 120- Samambaia Sul,Casas,"-15.867649385377758, -48.06217117362418"
31,QR 121- Samambaia Sul,Casas,"-15.891402182996318, -48.119723652888055"
32,QR 122- Samambaia Sul,Apartamentos,"-15.867704339258456, -48.05682546940082"
33,QR 122- Samambaia Sul,Casas,"-15.866898466576371, -48.05842229184415"
34,QR 123- Samambaia Sul,Apartamentos,"-15.891968728029996, -48.122775282000774"
35,QR 123- Samambaia Sul,Casas,"-15.892960082576872, -48.12270109904582"
36,QR 125- Samambaia Sul,Casas,"-15.894111523792267, -48.125614746421604"
37,QR 127- Samambaia Sul,Casas,"-15.895217431639853, -48.12776885630337"
38,QR 203- Samambaia Norte,Apartamentos,"-15.875859755334085, -48.09319603509419"
39,QR 203- Samambaia Norte,Casas,"-15.875172413590613, -48.09397966661189"
40,QR 204- Samambaia Norte,Apartamentos,"-15.870714012953641, -48.08304941476127"
41,QR 204- Samambaia Norte,Casas,"-15.869910407195048, -48.08299878139798"
42,QR 205- Samambaia Norte,Casas,"-15.877221489273946, -48.09722524415772"
43,QR 206- Samambaia Norte,Casas,"-15.868219059688109, -48.08074115350348"
44,QR 208- Samambaia Norte,Apartamentos,"-15.868191443333105, -48.07696737196877"
45,QR 208- Samambaia Norte,Casas,"-15.866979173793517, -48.077716734438376"
46,QR 209- Samambaia Norte,Casas,"-15.879918745306743, -48.10273516606713"
47,QR 210- Samambaia Norte,Apartamentos,"-15.863758482999485, -48.07577624519392"
48,QR 210- Samambaia Norte,Casas,"-15.865980136247062, -48.074856779742994"
49,QR 211- Samambaia Norte,Casas,"-15.881820279817644, -48.10709608565132"
50,QR 212- Samambaia Norte,Apartamentos,"-15.86377344649297, -48.07199773554532"
51,QR 212- Samambaia Norte,Casas,"-15.862891790646822, -48.07278540578079"
52,QR 213- Samambaia Norte,Casas,"-15.882977480164952, -48.10956484232961"
53,QR 214- Samambaia Norte,Casas,"-15.88424268602474, -48.11213452606561"
54,QR 215- Samambaia Norte,Casas,"-15.883370714052091, -48.11188239843845"
55,QR 221- Samambaia Norte,Casas,"-15.888406615173203, -48.120955895384036"
56,QR 223- Samambaia Norte,Casas,"-15.889795701334274, -48.124362343442726"
57,QR 225- Samambaia Norte,Casas,"-15.890770484521905, -48.126599871945565"
58,QR 303- Samambaia Sul,Apartamentos,"-15.882072521898367, -48.09155373078865"
59,QR 303- Samambaia Sul,Casas,"-15.882882754918217, -48.09284656730632"
60,QR 304- Samambaia Sul,Apartamentos,"-15.879255177780205, -48.08058625789296"
61,QR 305- Samambaia Sul,Apartamentos,"-15.886321498854747, -48.09566450801294"
62,QR 305- Samambaia Sul,Casas,"-15.884813588319249, -48.09557675892803"
63,QR 306- Samambaia Sul,Apartamentos,"-15.878920735602435, -48.077025374520616"
64,QR 306- Samambaia Sul,Casas,"-15.877394595400173, -48.07725955301243"
65,QR 307- Samambaia Sul,Apartamentos,"-15.885092179524374, -48.09829122824255"
66,QR 307- Samambaia Sul,Casas,"-15.88638065423701, -48.09734353812553"
67,QR 308- Samambaia Sul,Apartamentos,"-15.878436310255644, -48.07479242022789"
68,QR 308- Samambaia Sul,Casas,"-15.877479853609502, -48.07537646276072"
69,QR 309- Samambaia Sul,Apartamentos,"-15.888152489411452, -48.09958994048566"
70,QR 309- Samambaia Sul,Casas,"-15.886934327009703, -48.10022978584141"
71,QR 310- Samambaia Sul,Apartamentos,"-15.877402674085562, -48.07166969799305"
72,QR 310- Samambaia Sul,Casas,"-15.87628690321509, -48.07221390651939"
73,QR 311- Samambaia Sul,Apartamentos,"-15.88869322039697, -48.10345957184157"
74,QR 312- Samambaia Sul,Apartamentos,"-15.876737115665238, -48.06993093234583"
75,QR 312- Samambaia Sul,Casas,"-15.875440802542585, -48.07044708085841"
76,QR 313- Samambaia Sul,Apartamentos,"-15.888916348398105, -48.1067838885328"
77,QR 313- Samambaia Sul,Casas,"-15.890086644152207, -48.10608774579253"
78,QR 314- Samambaia Sul,Apartamentos,"-15.873544637849974, -48.06795949904651"
79,QR 314- Samambaia Sul,Casas,"-15.874838813270504, -48.06716975728233"
80,QR 315- Samambaia Sul,Casas,"-15.891386139453608, -48.108849013894684"
81,QR 316- Samambaia Sul,Apartamentos,"-15.872934485864539, -48.0646370380746"
82,QR 316- Samambaia Sul,Casas,"-15.874245545749314, -48.065339030753876"
83,QR 317- Samambaia Sul,Casas,"-15.892746009847924, -48.1112229150226"
84,QR 318- Samambaia Sul,Apartamentos,"-15.87229126766909, -48.06316956115106"
85,QR 318- Samambaia Sul,Casas,"-15.873146297009486, -48.062629516874"
86,QR 319- Samambaia Sul,Casas,"-15.894233396228005, -48.115230619631824"
87,QR 320- Samambaia Sul,Apartamentos,"-15.874505597460054, -48.06054300742409"
88,QR 320- Samambaia Sul,Casas,"-15.872823165009999, -48.06078870487059"
89,QR 321- Samambaia Sul,Apartamentos,"-15.896158968539169, -48.11739441518057"
90,QR 321- Samambaia Sul,Casas,"-15.895386772393941, -48.117456544170416"
91,QR 323- Samambaia Sul,Casas,"-15.896689896573, -48.12045088732199"
92,QR 327- Samambaia Sul,Casas,"-15.8993399951858, -48.12600966729613"
93,QR 401- Samambaia Norte,Apartamentos,"-15.870504905684792, -48.093427273723606"
94,QR 401- Samambaia Norte,Casas,"-15.869261345322371, -48.09402396752223"
