,house_price,house_region,n_bedrooms,has_condominium,value_condominium,has_garage,n_garage,house_size,house_hyperlink,house_category,n_bathrooms,zip_code,street_address,metro_distance,latitude,longitude,all_together
1649,335000.0,Sul,2,Com condomínio,0.0,Com garagem,1,50.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-residencial-em-brasilia-df-samambaia-sul-samambaia-1085232988,Apartamentos,2,72300533.0,Quadra 301 Conjunto 2,3,,,Quadra 301- Samambaia Sul- Apartamentos
2761,440000.0,Norte,3,Com condomínio,0.0,Com garagem,1,119.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/cobertura-a-venda-possui-119-metros-quadrados-com-3-quartos-1100329501,Apartamentos,2,72318210.0,QR 406 Conjunto 9-A,2,-15.864429527293499, -48.08242791463846,QR 406- Samambaia Norte- Apartamentos
223,290000.0,Norte,3,Com condomínio,385.0,Com garagem,1,,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-samambaia-3qts-garagem-1108191410,Apartamentos,2,72318230.0,QR 406 Conjunto 28,2,-15.864429527293499, -48.08242791463846,QR 406- Samambaia Norte- Apartamentos
106,210000.0,Norte,3,Com condomínio,0.0,Com garagem,1,112.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/otima-casa-na-samambaia--1034859051,Casas,3,72322505.0,QS 602 Conjunto E Comércio,3,-15.861913080256768, -48.091971598995464,QR 602- Samambaia Norte- Casas
2541,183000.0,Norte,2,Com condomínio,0.0,Com garagem,1,33.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-com-facilidades-diferenciadas-1113306623,Apartamentos,1,72321000.0,QR 407,3,-15.876050241346821, -48.10125828557616,QR 407- Samambaia Norte- Apartamentos
1117,206100.0,Sul,2,Com condomínio,0.0,Com garagem,1,43.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/apartamento-para-venda-tem-43-metros-quadrados-com-2-quartos-em-samambaia-sul-brasilia-1078133694,Apartamentos,1,72309307.0,QR 321 Conjunto 7,3,-15.896158968539169, -48.11739441518057,QR 321- Samambaia Sul- Apartamentos
1045,250000.0,Sul,2,Com condomínio,0.0,Com garagem,3,135.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-de-rua-venda-samambaia-sul-samambaia-brasilia-df-1048627010,Casas,1,72310708.0,QR 504 Conjunto 7,3,-15.883935343304458, -48.078986896790894,QR 504- Samambaia Sul- Casas
1128,225000.0,Norte,2,Com condomínio,0.0,Com garagem,1,205.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-205-m-por-r-225-000-00-samambaia-norte-samambaia-df-1044327113,,,,,3,,,
1493,400000.0,Norte,2,Com condomínio,0.0,Com garagem,2,105.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/excelente-casa-com-2-quartos-na-qr-402-samambaia-norte-1107229432,,,,,3,,,
188,479000.0,Norte,3,Com condomínio,0.0,Com garagem,3,230.0,https://df.olx.com.br/distrito-federal-e-regiao/imoveis/casa-a-venda-samambaia-norte-qr-410-esquina-1112455578,Casas,1,72320001.0,QR 410 Conjunto 1,2,-15.8591555086571, -48.07781388393629,QR 410- Samambaia Norte- Casas
