,house_category,n_bathrooms,CEP,Logradouro
0,Apartamentos,1,72302705,QR 116 Conjunto 4-A Comércio
1,Apartamentos,2,72300533,Quadra 301 Conjunto 2
2,Apartamentos,1,72316080,QR 204
3,Apartamentos,1,72304051,QN 120 Conjunto 1
4,Casas,1,72318030,QR 402 Conjunto 29
5,Apartamentos,2,72320300,QI 416
6,Apartamentos,2,72300603,Quadra 102 Conjunto 2
7,Casas,4,72329010,QR 429 Conjunto 10
8,Apartamentos,2,72320119,QR 412 Conjunto 17
9,Apartamentos,2,72322609,QR 612 Conjunto 8-A
10,Casas,1,72318032,QR 402 Conjunto 31
11,Casas,1,72316100,QR 208
12,Casas,4,72333000,QR 617
13,Apartamentos,1,72316042,Quadra 202 Conjunto 2
14,Apartamentos,1,72300641,Quadra 302 Conjunto 6
15,Casas,1,72315000,QR 513
16,Casas,2,72335100,QR 631
17,Apartamentos,1,72322609,QR 612 Conjunto 8-A
18,Apartamentos,1,72321506,QN 407 Conjunto F Comércio
19,Casas,2,72312811,QR 512 Conjunto 10
20,Casas,2,72329003,QR 429 Conjunto 3
21,Casas,2,72309305,QR 321 Conjunto 5
22,Casas,2,72308605,QR 316 Conjunto 5
23,Apartamentos,2,72304020,QR 120 Conjunto 10A
24,Apartamentos,1,72320300,QI 416
25,Casas,2,72322520,QS 604
26,Apartamentos,1,72322503,QS 602 Conjunto C Comércio
27,Casas,3,72322200,QR 606
28,Apartamentos,1,72302151,QN 106 Conjunto 1
29,Apartamentos,1,72318205,QR 406 Conjunto 5
30,Apartamentos,2,72300543,Quadra 301 Conjunto 7
31,Casas,1,72311704,QN 505 Conjunto 4
32,Apartamentos,1,72320100,QR 412
33,Apartamentos,1,72311500,QS 501
34,Apartamentos,1,72321514,QS 407 Conjunto D Comércio
35,Casas,2,72318114,QR 404 Conjunto 13
36,Casas,5 ou mais,72319002,QR 401 Conjunto 2
37,Apartamentos,1,72308526,QS 316 Conjunto 6 Comércio
38,Casas,1,72325209,QR 423 Conjunto 8
39,Casas,2,72314300,QR 516
40,Casas,1,72331102,QR 603 Conjunto 2
41,Casas,2,72325218,QR 423 Conjunto 16
42,Apartamentos,5 ou mais,72320109,QR 412 Conjunto 8
43,Apartamentos,2,72305506,QS 303 Conjunto 6 Comércio
44,Casas,3,72323006,QR 415 Conjunto 6
45,Casas,1,72331104,QR 603 Conjunto 4
46,Casas,4,72316227,QR 210 Conjunto 26
47,Casas,1,72329200,QR 433
48,Casas,2,72316300,QR 212
49,Casas,1,72331104,QR 603 Conjunto 4
50,Casas,1,72333202,QR 621 Conjunto 2
51,Casas,2,72319003,QR 401 Conjunto 3
52,Casas,1,72322700,QR 614
53,Casas,1,72312700,QN 512
54,Casas,1,72320001,QR 410 Conjunto 1
55,Casas,2,72315600,QN 214
56,Casas,1,72320001,QR 410 Conjunto 1
57,Casas,1,72345200,QR 223
58,Casas,1,72345200,QR 223
59,Apartamentos,1,72306813,QR 310 Conjunto 12
60,Casas,1,72335001,QR 629 Conjunto 1
61,Casas,3,72343206,QR 215 Conjunto 6
62,Casas,2,72318300,QR 408
63,Casas,3,72318000,QR 402
64,Casas,1,72335001,QR 629 Conjunto 1
65,Apartamentos,1,72300531,Quadra 301 Conjunto 1
66,Apartamentos,1,72302151,QN 106 Conjunto 1
67,Apartamentos,1,72309310,
68,,,,
69,Apartamentos,1,72301555,QS 111 Conjunto J
70,Casas,1,72339126,QR 827 Conjunto 11
71,Casas,4,72323014,QR 415 Conjunto 14
72,Casas,2,72302316,QR 110 Conjunto 16
73,Apartamentos,1,72310527,QS 502 Conjunto 7 Comércio
74,Casas,3,72304208,QR 122 Conjunto 8
75,Casas,1,72318021,QR 402 Conjunto 21
76,Apartamentos,1,72302352,QN 110 Conjunto 2
77,Casas,4,72320200,QR 414
78,Apartamentos,1,72300531,Quadra 301 Conjunto 1
79,Apartamentos,1,72318580,QN 408
80,Casas,3,72310100,QR 320
81,Casas,1,72312700,QN 512
82,,,,
83,Apartamentos,2,72300531,Quadra 301 Conjunto 1
84,Casas,2,72322533,QS 606 Conjunto C Comércio
85,Apartamentos,2,72300530,Quadra 301
86,Casas,1,72320001,QR 410 Conjunto 1
87,Apartamentos,1,72300530,Quadra 301
88,Casas,2,72317009,QR 521 Conjunto 9
89,Casas,1,72329200,QR 433
90,Casas,2,72305614,QR 307 Conjunto 13
91,Apartamentos,1,72309300,QR 321
92,Casas,3,72313700,
93,Apartamentos,1,72318580,QN 408
94,Casas,2,72308315,QR 314 Conjunto 13
95,Casas,2,72316100,QR 208
96,Casas,2,72322209,QR 606 Conjunto 8
97,Apartamentos,1,72320107,QR 412 Conjunto 6-A
98,Casas,3,72305615,QR 307 Conjunto 14
99,Casas,2,72316300,QR 212
100,Casas,2,72322204,QR 606 Conjunto 4
101,Casas,5 ou mais,72312700,QN 512
102,Casas,1,72320001,QR 410 Conjunto 1
103,Casas,3,72329003,QR 429 Conjunto 3
104,Casas,1,72318509,QN 402 Conjunto I Comércio
105,Casas,1,72345200,QR 223
106,Casas,3,72322505,QS 602 Conjunto E Comércio
107,Casas,2,72319003,QR 401 Conjunto 3
108,Casas,1,72331104,QR 603 Conjunto 4
109,Casas,1,72331104,QR 603 Conjunto 4
110,Casas,1,72307300,QR 313
111,Casas,2,72318112,QR 404 Conjunto 11
112,Casas,2,72331017,QR 601 Conjunto 17
113,Apartamentos,1,72318210,QR 406 Conjunto 9-A
114,Casas,,72314715,ADE Conjunto 15
115,Apartamentos,0,72338660,QR 829
116,Casas,2,72305000,QN 303
117,Casas,1,72345205,QR 223 Conjunto 5
118,Casas,1,72316002,QR 206 Conjunto 2
119,Apartamentos,2,72320010,QR 410 Conjunto 9
120,Casas,1,72318016,QR 402 Conjunto 16
121,Casas,1,72339007,QR 1029 Conjunto 7
122,Casas,0,72327026,QR 425 Conjunto 25
123,Casas,1,72339000,QR 1029
124,Casas,2,72308809,
125,Apartamentos,1,72313004,QN 507 Conjunto 4
126,Casas,1,72327000,QR 425
127,Apartamentos,1,72308001,QN 312 Conjunto 1
128,Casas,2,72316000,QR 206
129,Casas,1,72331104,QR 603 Conjunto 4
130,Casas,1,72320001,QR 410 Conjunto 1
131,Casas,3,72331300,QR 607
132,Casas,4,72316100,QR 208
133,Casas,1,72327001,QR 425 Conjunto 1
134,Casas,2,72301700,QR 115
135,Apartamentos,2,72304050,QN 120
136,Casas,1,72321304,QR 413 Conjunto 4
137,Casas,2,72319001,QR 401 Conjunto 1
138,Apartamentos,1,72300647,Quadra 302 Conjunto 9
139,Casas,1,72318200,QR 406
140,Casas,2,72316111,QR 208 Conjunto 10
141,Apartamentos,2,72300530,Quadra 301
142,Casas,1,72305600,QR 307
143,Casas,3,72322005,QR 602 Conjunto 5
144,Casas,2,72311300,QR 501
145,Apartamentos,1,72314701,ADE Conjunto 1
146,Casas,1,72320109,QR 412 Conjunto 8
147,Apartamentos,2,72300530,Quadra 301
148,Apartamentos,2,72322570,QN 614
149,Casas,2,72322200,QR 606
150,Casas,1,72325580,QS 423
151,Casas,1,72320001,QR 410 Conjunto 1
152,Casas,1,72320001,QR 410 Conjunto 1
153,Apartamentos,1,72321007,
154,Casas,3,72311613,QR 503 Conjunto 11
155,Casas,1,72333300,QR 623
